date,XLB US Equity_tot_return_index_gross_dvds,XLC US Equity_tot_return_index_gross_dvds,XLE US Equity_tot_return_index_gross_dvds,XLF US Equity_tot_return_index_gross_dvds,XLI US Equity_tot_return_index_gross_dvds,XLK US Equity_tot_return_index_gross_dvds,XLP US Equity_tot_return_index_gross_dvds,XLRE US Equity_tot_return_index_gross_dvds,XLU US Equity_tot_return_index_gross_dvds,XLV US Equity_tot_return_index_gross_dvds,XLY US Equity_tot_return_index_gross_dvds
2005-01-31,14.41,,18.775,24.2549,30.2,9.96,23.35,,14.22,29.25,16.89
2005-02-28,15.545,,21.925,24.0925,30.55,9.975,23.32,,14.525,30.13,16.8
2005-03-31,15.132,,21.5057,23.1763,30.5362,9.78,23.1155,,14.6858,29.9615,16.6039
2005-04-29,14.0532,,20.3419,23.2171,29.4223,9.435,22.8745,,15.1392,31.0051,15.5473
2005-05-31,13.9629,,20.9087,23.9029,30.3556,10.09,23.4067,,15.1291,31.3964,16.5087
2005-06-30,13.6833,,22.3667,24.2004,29.555,9.96,22.9545,,16.0283,31.2299,16.4375
2005-07-29,14.4396,,23.9517,24.5782,30.6817,10.525,23.691,,16.3889,31.9344,17.3702
2005-08-31,13.8346,,25.4814,24.1758,29.9574,10.425,23.2773,,16.4956,31.8237,16.7985
2005-09-30,13.9405,,27.0823,24.381,30.4586,10.45,23.6057,,17.1919,31.6462,16.3212
2005-10-31,13.9709,,24.635,25.1243,30.0243,10.21,23.4942,,16.0918,30.6771,15.9896
2005-11-30,15.0406,,25.0033,26.3219,31.7715,10.855,23.7071,,16.0662,31.0506,16.6276
2005-12-30,15.4713,,25.4548,26.3268,31.9216,10.5217,23.7353,,16.2044,32.1243,16.4856
2006-01-31,16.2173,,29.1736,26.5596,32.013,10.8742,23.7761,,16.5968,32.5395,16.7784
2006-02-28,15.8698,,26.4819,27.1249,33.0087,10.8993,23.9799,,16.8136,32.9143,16.8996
2006-03-31,16.6102,,27.607,27.2031,34.4681,11.146,24.1779,,16.0353,32.4931,16.999
2006-04-28,17.2006,,28.9975,28.3815,35.2125,11.0,24.4135,,16.2902,31.4872,17.2161
2006-05-31,16.5075,,28.1906,27.3117,34.6109,10.2851,24.4648,,16.5555,30.8268,16.9283
2006-06-30,16.5931,,28.9067,27.1862,34.5666,10.2348,24.9145,,16.9356,30.8375,16.8986
2006-07-31,15.9728,,29.8745,27.8082,32.6037,9.968,25.3059,,17.7485,32.5201,16.3368
2006-08-31,16.4535,,28.3566,28.1361,32.9717,10.6677,26.2843,,18.2363,33.448,16.6607
2006-09-29,16.4513,,27.3186,29.268,34.2296,11.0977,26.2713,,17.9712,33.9614,17.722
2006-10-31,17.4392,,28.4839,29.9528,35.1947,11.5467,26.7371,,18.9229,34.074,18.868
2006-11-30,18.1983,,30.927,30.1641,36.0571,11.8645,26.5094,,19.4252,34.033,19.1063
2006-12-29,18.2959,,30.0563,31.2987,36.2333,11.8005,27.174,,19.5913,34.3885,19.5208
2007-01-31,19.0527,,29.7795,31.5884,36.9888,12.039,27.7254,,19.522,35.4359,20.0806
2007-02-28,19.6834,,29.1694,30.6257,36.6576,11.694,27.3613,,20.5143,34.5836,19.4547
2007-03-30,20.0245,,31.0046,30.4815,36.871,11.831,27.8634,,21.2962,34.6822,19.3883
2007-04-30,20.3244,,32.5939,31.6621,38.5823,12.389,28.6475,,22.3423,37.2177,19.8472
2007-05-31,21.5243,,35.1296,32.4234,40.584,13.0131,29.0344,,22.4442,37.8567,20.4437
2007-06-29,21.4089,,35.5861,31.1205,40.5946,12.9966,28.4556,,21.3766,36.5882,20.0864
2007-07-31,20.838,,35.5913,28.2992,40.9793,12.9712,27.6456,,20.5232,34.8474,18.8965
2007-08-31,20.6953,,36.0194,29.0303,40.9897,13.22,28.2978,,20.8473,35.6453,19.0139
2007-09-28,22.3618,,38.6838,29.7385,42.9305,13.7191,29.5977,,21.647,36.7565,18.8468
2007-10-31,23.2911,,39.6664,29.2273,42.3766,14.4465,30.0525,,23.0884,37.4428,18.7547
2007-11-30,22.1175,,37.9959,26.8617,41.1748,13.3579,30.8776,,23.2406,37.9211,17.7313
2007-12-31,22.3504,,41.1397,25.2918,41.1167,13.6229,30.6179,,23.1983,36.8483,16.8527
2008-01-31,21.4124,,36.0847,25.4754,38.8488,11.8804,28.9169,,21.4939,35.1682,16.7909
2008-02-29,21.9055,,39.4288,22.5817,38.0613,11.3184,28.8425,,20.6115,34.229,16.1415
2008-03-31,21.5978,,38.507,21.906,39.4408,11.4489,29.7755,,20.9429,32.6736,15.8523
2008-04-30,22.7484,,42.5054,23.4386,40.6009,12.1645,29.5511,,22.0137,32.9986,16.229
2008-05-30,23.9313,,44.7152,21.8091,40.9594,12.9567,30.4488,,22.8031,33.6275,16.6728
2008-06-30,22.5416,,46.1272,18.0061,36.037,11.7434,28.7149,,22.6349,32.2073,14.7513
2008-07-31,21.8123,,38.7869,19.2236,36.3231,11.4563,29.4126,,21.1778,33.6502,14.7772
2008-08-29,21.472,,38.9172,19.037,37.3191,11.6614,30.207,,20.9443,34.3453,15.7975
2008-09-30,18.1421,,33.0997,17.827,32.8095,10.2094,29.8295,,18.6391,31.792,14.5009
2008-10-31,14.0791,,26.8772,13.9192,26.8229,8.5635,26.0684,,16.216,28.142,11.9437
2008-11-28,12.5745,,26.2915,11.3469,24.6178,7.8435,26.0143,,16.8947,26.3646,10.6496
2008-12-31,12.5051,,25.1087,11.3889,25.1883,7.9676,26.0203,,16.4879,28.259,11.2966
2009-01-30,11.5812,,24.6619,8.4053,22.1661,7.5901,24.1453,,16.4595,27.9184,10.0973
2009-02-27,10.6519,,21.6207,6.9134,18.3911,7.3006,22.1941,,14.3978,24.4592,9.1808
2009-03-31,12.289,,22.437,8.099,20.0182,8.1176,23.1381,,14.6727,25.9284,10.3479
2009-04-30,14.2034,,24.1913,9.864,23.6352,8.9647,24.125,,14.845,25.8963,12.2648
2009-05-29,15.0334,,27.309,11.243,24.4281,9.1725,25.3532,,15.3733,27.6634,12.1752
2009-06-30,14.3515,,25.5217,11.0409,24.0119,9.5057,25.4056,,16.2012,28.3175,12.2054
2009-07-31,16.1983,,26.8868,12.0202,26.1113,10.2835,27.0964,,16.8112,29.9965,13.3636
2009-08-31,16.5821,,27.1789,13.5817,27.3578,10.4505,27.4279,,16.9796,30.8038,13.8342
2009-09-30,17.282,,28.7674,13.8463,28.9546,10.9342,28.333,,17.213,30.994,14.5742
2009-10-30,16.3883,,29.4769,13.0214,27.8004,10.798,28.7448,,16.6614,30.3454,14.2293
2009-11-30,18.1534,,30.3146,13.5868,30.2407,11.3953,29.802,,17.4654,33.1669,15.1843
2009-12-31,18.529,,30.5809,13.3949,30.7466,12.0562,29.7361,,18.4192,33.7735,15.8802
2010-01-29,16.9283,,29.2345,13.1903,30.293,11.0199,29.4328,,17.5344,34.0018,15.4214
2010-02-26,17.6922,,30.1142,13.6554,31.9083,11.4043,30.3652,,17.3029,34.1322,16.2803
2010-03-31,19.0931,,30.9639,14.8711,34.683,12.1846,31.5099,,17.7683,35.0427,17.5515
2010-04-30,19.1325,,32.2505,15.066,36.1596,12.337,31.1714,,18.2356,33.6794,18.6097
2010-05-31,17.3088,,28.5576,13.687,32.8622,11.4145,29.7274,,17.2292,31.4872,17.3003
2010-06-30,16.0394,,26.8645,12.9024,30.6024,10.7984,28.9757,,17.1078,30.9139,15.6191
2010-07-30,18.0973,,29.114,13.7433,33.7931,11.603,30.6575,,18.3852,31.3195,16.8577
2010-08-31,17.5489,,27.6864,12.6637,31.4502,10.952,30.0893,,18.6515,30.8043,16.1875
2010-09-30,18.9099,,30.4547,13.4323,35.0739,12.229,31.9072,,19.1919,33.5962,17.9714
2010-10-29,20.0751,,32.1822,13.6332,36.0831,12.9355,32.9258,,19.3998,34.3454,18.9665
2010-11-30,20.3001,,34.0673,13.5405,36.5652,12.723,32.4108,,18.8127,33.3537,19.4452
2010-12-31,22.3364,,37.2417,14.9898,39.3002,13.4298,33.8357,,19.3954,34.8891,20.2413
2011-01-31,22.3539,,39.9155,15.4127,40.8442,13.8563,33.3393,,19.6305,35.0885,20.1169
2011-02-28,22.947,,42.8566,15.8356,41.7121,14.1602,34.309,,19.8719,36.1839,21.3234
2011-03-31,23.3489,,43.664,15.4429,42.6357,13.9416,34.735,,19.9166,36.8388,21.1994
2011-04-29,23.8448,,44.0632,15.4335,43.8073,14.304,36.5925,,20.7228,39.2087,22.0138
2011-05-31,23.1914,,42.2186,14.9247,42.5961,14.1542,37.5096,,21.1665,40.1767,21.9541
2011-06-30,23.0984,,41.4072,14.5144,42.3628,13.8029,36.5084,,21.1348,39.7246,21.9059
2011-07-29,22.3005,,42.0117,13.9896,39.4506,13.862,36.0408,,20.9391,38.1481,21.6008
2011-08-31,20.734,,37.7199,12.6516,36.857,13.1262,36.111,,21.3937,37.3431,20.4677
2011-09-30,17.314,,32.2798,11.2106,33.4246,12.7225,34.9196,,21.4376,35.6665,19.0555
2011-10-31,20.3192,,38.4589,12.8101,38.229,14.0217,36.5443,,22.2219,37.7235,21.3295
2011-11-30,20.3604,,39.0988,12.1599,38.7666,13.8115,37.5568,,22.4515,38.0832,21.1764
2011-12-30,19.8956,,38.2988,12.4194,38.8635,13.7798,38.5982,,23.2002,39.2135,21.4531
2012-01-31,22.0811,,39.1631,13.4273,41.7077,14.6353,38.0517,,22.362,40.4683,22.7176
2012-02-29,21.9564,,41.4844,14.1008,42.8707,15.6722,39.4773,,22.4974,40.8978,23.7457
2012-03-30,22.04,,39.9016,15.1374,43.2843,16.3827,40.7018,,22.8065,42.7294,24.8669
2012-04-30,21.8611,,39.618,14.7876,42.8158,16.198,40.8212,,23.2067,42.6158,25.1537
2012-05-31,20.1621,,35.3859,13.4267,40.1087,15.1714,40.3435,,23.3369,41.0707,23.7694
2012-06-29,21.1513,,37.0846,14.092,41.4589,15.6629,41.8107,,24.2955,43.4097,24.2288
2012-07-31,20.8816,,38.9174,14.1161,41.6216,15.9547,42.8449,,24.9063,43.8494,24.096
2012-08-31,21.3671,,39.9678,14.5975,42.2609,16.6253,42.6405,,23.8751,44.3634,25.2084
2012-09-28,22.1724,,41.2156,15.0743,42.7336,16.8773,43.3848,,24.1543,46.0518,25.9849
2012-10-31,21.7086,,40.3766,15.3733,42.6861,15.8072,42.858,,24.4896,45.9472,25.586
2012-11-30,22.1122,,39.8826,15.2386,43.4355,15.9493,43.6451,,23.4441,46.1895,26.3959
2012-12-31,22.8197,,40.291,15.9484,44.6636,15.8874,42.7425,,23.4416,46.0261,26.5157
2013-01-31,23.7194,,43.6364,16.9118,47.2326,16.1903,45.1552,,24.5556,49.5224,28.0197
2013-02-28,23.3972,,43.8282,17.1161,48.2814,16.317,46.6494,,25.1262,50.1456,28.4669
2013-03-29,23.9147,,44.9428,17.778,49.4256,16.7381,48.9485,,26.4737,53.3294,29.7128
2013-04-30,24.1406,,44.3535,18.2573,49.0587,17.0311,50.3885,,28.0513,54.8606,30.6154
2013-05-31,24.5984,,45.6172,19.3705,51.5205,17.5067,49.2931,,25.5122,55.7647,31.4619
2013-06-28,23.5847,,44.583,19.0613,50.7247,16.998,49.1398,,25.7367,55.4328,31.7202
2013-07-31,24.8979,,46.9288,20.0857,53.7225,17.6343,51.2704,,26.8515,59.4031,33.3905
2013-08-30,24.8672,,46.4449,19.0564,52.3902,17.4509,48.9417,,25.511,57.3074,32.4401
2013-09-30,25.9702,,47.4278,19.5892,55.461,17.8936,49.6145,,25.807,59.1458,34.2001
2013-10-31,27.0582,,49.4191,20.2387,58.1083,18.7927,52.7871,,26.7815,61.6945,35.7682
2013-11-29,27.4106,,49.4477,21.1392,60.2356,19.3735,53.6161,,26.2635,64.6056,37.0035
2013-12-31,28.7521,,50.8671,21.6139,62.7738,20.0577,53.9843,,26.4997,65.0816,37.8475
2014-01-31,27.396,,47.9189,20.8229,60.0951,19.5414,51.1959,,27.2884,65.6921,35.5765
2014-02-28,29.2871,,50.3729,21.4557,62.5335,20.4001,53.193,,28.2306,69.7773,37.8532
2014-03-31,29.5292,,51.4343,22.1702,63.1311,20.4885,54.3602,,29.1747,68.9036,36.7684
2014-04-30,29.7728,,54.1371,21.7931,63.9756,20.5448,55.8498,,30.4061,68.4677,36.2684
2014-05-30,30.6534,,55.0438,22.1206,65.2061,21.317,56.8598,,30.0754,70.435,37.3138
2014-06-30,31.1477,,58.0757,22.6557,65.5141,21.7156,56.7171,,31.4129,71.9273,38.0378
2014-07-31,30.5265,,56.0624,22.327,62.8116,22.0837,54.8357,,29.2766,72.0219,37.5534
2014-08-29,31.7061,,57.2866,23.2734,65.4656,22.8085,57.3654,,30.7173,75.5101,39.2233
2014-09-30,31.2606,,52.8465,23.1801,64.7158,22.6906,57.7016,,30.1399,75.838,38.1362
2014-10-31,30.5104,,50.9804,23.8504,67.224,23.0546,59.7482,,32.5602,79.8251,38.9425
2014-11-28,30.9895,,46.5483,24.4107,69.294,24.1636,63.0611,,32.9398,82.6019,41.064
2014-12-31,30.8143,,46.4415,24.8673,69.2763,23.6377,62.4719,,34.1142,81.4416,41.4291
2015-01-30,30.2497,,44.3236,23.1377,66.8153,22.8088,61.8664,,34.9089,82.5016,40.1888
2015-02-27,32.6601,,46.3594,24.4851,70.3905,24.6324,64.4302,,32.6765,86.0389,43.6226
2015-03-31,31.0573,,45.8193,24.3328,68.5963,23.7857,63.1733,,32.349,86.5889,43.4105
2015-04-30,32.1014,,48.8314,24.353,68.4241,24.4401,62.6937,,32.1961,85.6442,43.3874
2015-05-29,32.2224,,46.2977,24.8273,68.6454,24.8935,63.2381,,32.3999,89.5031,43.9578
2015-06-30,30.9505,,44.6876,24.7149,66.8244,23.8705,62.0782,,30.4635,89.153,44.202
2015-07-31,29.3899,,41.251,25.5563,67.0222,24.5509,65.6125,,32.3225,91.7896,46.3635
2015-08-31,27.7333,,39.497,23.7518,63.4004,23.1959,61.7,,31.1983,84.479,43.3351
2015-09-30,25.6781,,36.6632,23.0863,62.0105,22.8793,61.9447,,32.1101,79.6654,43.0833
2015-10-30,29.1258,,40.7548,24.533,67.4546,25.2831,65.4758,30.95,32.4513,85.812,46.9762
2015-11-30,29.4153,,40.7488,25.022,68.0387,25.4626,64.872,30.75,31.7615,85.5354,46.866
2015-12-31,28.1415,,36.4693,24.4344,66.2943,24.9351,66.7734,31.5334,32.4389,87.0142,45.5371
2016-01-29,25.1277,,35.1936,22.2709,62.5175,24.0094,67.1305,29.5171,34.0429,80.2976,43.1771
2016-02-29,27.0915,,34.2081,21.6249,65.1813,23.8523,67.3421,29.6586,34.7025,80.0067,43.3693
2016-03-31,29.143,,37.6851,23.1955,69.7235,25.9564,70.5333,32.8335,37.4719,82.1701,46.2737
