held_out,const__coef,const__t,HHI__coef,HHI__t,Supplier_HHI__coef,Supplier_HHI__t,SuppHHI_x_Consumer Discretionary__coef,SuppHHI_x_Consumer Discretionary__t,SuppHHI_x_Consumer Staples__coef,SuppHHI_x_Consumer Staples__t,SuppHHI_x_Energy__coef,SuppHHI_x_Energy__t,SuppHHI_x_Financials__coef,SuppHHI_x_Financials__t,SuppHHI_x_Health Care__coef,SuppHHI_x_Health Care__t,SuppHHI_x_Industrials__coef,SuppHHI_x_Industrials__t,SuppHHI_x_Materials__coef,SuppHHI_x_Materials__t,SuppHHI_x_Real Estate__coef,SuppHHI_x_Real Estate__t,SuppHHI_x_Technology__coef,SuppHHI_x_Technology__t,SuppHHI_x_Utilities__coef,SuppHHI_x_Utilities__t,ATM_IV__coef,ATM_IV__t,tot_return_index_gross_dvds__coef,tot_return_index_gross_dvds__t
2005,-0.019513243342326715,-2.287914129014427,0.013553482330575769,0.44821249601820534,-0.33712285783515966,-1.2499781901918523,0.3836192235120233,1.259526662109279,0.44456889037043806,1.62548161713806,0.5172134076301297,1.963378688265726,0.609508936239275,2.0614992159971446,0.6568869523256109,2.176283375570525,0.5887758759308755,2.195193826353946,0.39015103153429836,1.4346250498609863,0.7342675094142603,2.298729794293022,0.4158265195844043,1.4442378820838508,0.3024460359142038,1.1209239025340034,0.009722314428475388,0.7409686516556818,1.2080299718429345e-05,0.2881741621787409
2006,-0.012348907558648611,-1.5247978742379757,0.004882141893432619,0.1973272173180503,-0.42619771936271117,-1.5836801497497546,0.3917017469024616,1.3643754112024673,0.4502953893442019,1.6777099235942952,0.5257721202270996,2.0097934342503208,0.6136840486236917,2.15595638181331,0.5312281286746101,1.8915114195900182,0.6251996527991591,2.3738511056780522,0.49042102706115226,1.8335253787784291,0.724119056507909,2.3322754318156194,0.3847562768586935,1.3913373652550358,0.3710127861403756,1.3870455504732968,0.006854244901288605,0.5893855150133903,1.0198506081765126e-05,0.31163191994981293
2007,-0.008773389471618633,-1.9190258273952343,-0.0061844119502282805,-0.3261208498385928,-0.5039290101265468,-1.777312095187305,0.4216247517579096,1.4988918911935059,0.49797000862733304,1.8197403968730321,0.5313657073662772,1.9989714141286579,0.6545853018133234,2.362297484195376,0.5682972425761887,2.0771262666710175,0.6240449118813173,2.3555771722271936,0.480511510389282,1.7411331923363338,0.7173768303737306,2.3808394202676557,0.37876494417653866,1.363833966055347,0.4691397896607789,1.6667941877520243,0.010499199037926586,0.739492723100766,3.489166358509962e-05,1.6685407309601434
2008,-0.011459798171245582,-3.450970435177052,0.001920846578380157,0.1330228234170508,-0.337455238337942,-1.1931145111481067,0.4083356317883658,1.41443143649066,0.47609126437748167,1.7045387139394224,0.45305835305288167,1.6540961739307383,0.5282622039665242,1.8228738250002121,0.48724912432018386,1.7430931338128897,0.5259133894651801,1.9284454200245043,0.35163887335962474,1.2454476535167156,0.7100232525110316,2.332819608251843,0.38881640029515596,1.3633899277169674,0.30992327659089536,1.0926838163136083,-0.01009651794853879,-1.089753606927205,1.896297759835169e-05,0.8044622588586777
2009,-0.01176460443450497,-1.4430405667222197,-0.015299324291137837,-0.7080575663047379,-0.5616000599508223,-2.1125396682826643,0.45198495560293084,1.6789524733205168,0.5754226951919112,2.2271161421146797,0.5699755630065262,2.210384124066981,0.6526584251160749,2.394520335711986,0.6254074725618181,2.3840340787354117,0.7178956530441917,2.80616219726084,0.5114889717498392,1.9572452475406934,0.7187618510573559,2.417902945687249,0.4746595374371426,1.7993819062465595,0.49113054275283624,1.8769116717676047,0.042747430266099694,3.5327162289783685,1.348199741240089e-05,0.39683168958343407
2010,-0.012662621135305778,-1.9848652063073757,0.0023357420106214642,0.09977407300984388,-0.4463039884555199,-1.6076405747449225,0.4232353763982348,1.472995211721231,0.49860487954091737,1.8300596318345697,0.5180126743595108,1.9551988438812897,0.6191137640893393,2.1687044597270826,0.5694471641863267,2.044209027731993,0.6090573069136895,2.3029268940281575,0.45372564612438954,1.654537934806646,0.7255860920864198,2.348641807472326,0.4157006858718132,1.4851436254948527,0.40185813280056515,1.4560977389977494,0.010916243196281138,0.827681361010597,1.8338201051520667e-05,0.5326108518597095
2011,-0.013339889557532783,-2.015310461001067,0.005041907512162472,0.2306454013770127,-0.4386402728352348,-1.583031788377121,0.4301227258220173,1.50352988200828,0.49597515542166803,1.8206808371512817,0.5130274845952939,1.9316363674776102,0.6218692373230765,2.1699490971603645,0.577445718531627,2.0768237879375886,0.616368508221518,2.3219664515104443,0.45121511438896306,1.6484486582831066,0.7279801417436207,2.3513641806442167,0.410988675368535,1.4694940702877803,0.3970813149220687,1.4425381748400294,0.010382235844576985,0.8012575362890902,2.1536344559295756e-05,0.604008991171036
2012,-0.011554013335702065,-1.7602683224101086,0.0013843158356476712,0.06309427379908064,-0.45208248214131075,-1.6682392376673758,0.42156343421815035,1.4788466434651486,0.49388737384654297,1.835221223874964,0.5221566309338992,1.9800925196274497,0.6138014931041053,2.149268579287631,0.5568925678415488,2.0167788556320074,0.6015812146262378,2.289390040098746,0.45684819690988177,1.6853065143297035,0.7248680444038266,2.3728252947129436,0.4164699237560779,1.498420894833787,0.40636557722750083,1.499503816674557,0.009987418611379832,0.7967482353619385,1.4675205500102894e-05,0.47562443144489197
2013,-0.0132515693834071,-2.022136764872139,0.003953210850800214,0.1872575607230927,-0.43891111406776334,-1.5933360684483078,0.4278590963601394,1.4915512620565374,0.4995937609406511,1.8392695148823683,0.5051050168327734,1.897457937912919,0.6244973089339985,2.172550361878389,0.5681103738147564,2.045828742257411,0.6213840018393213,2.343620106419561,0.4508288832239318,1.6456459445287905,0.7253471966323546,2.351939257409186,0.4087107862287524,1.4587153301281433,0.3959289162014711,1.4420007858065564,0.0097866404142595,0.8232687388349048,2.3956830590441215e-05,0.7114791353729327
2014,-0.0130778922441335,-1.993282113978334,0.007829539625600335,0.3589447621193363,-0.4480930867239638,-1.616417167414017,0.4480788721398335,1.5623413087548794,0.4998064915070834,1.8358482222850419,0.526924628309176,1.9827257346531335,0.6370502209075509,2.22466427881059,0.5730963459786326,2.0663552280487476,0.5850041441262159,2.208151436767134,0.46559502469635383,1.6961432118730249,0.7382475730196604,2.3968580421445282,0.4286945658735602,1.5311293243878537,0.4086873682671454,1.4813881502066748,0.010113723804561785,0.7634076240464204,1.3918749892436856e-05,0.4319523961949826
2015,-0.016841173301360576,-2.8192313978812433,0.007169475015515278,0.3624016758519156,-0.1750288462778222,-0.9286351673902866,0.15646188084578755,0.837133954136477,0.21800449148527692,1.2598461488886457,0.23466270633126737,1.4090848446700897,0.3070879154850636,1.6578339179699988,0.263329600285373,1.5035824775754199,0.2735413315782988,1.7153669795184678,0.17283857631335436,0.9735133867638625,3.948084845023084,20.00486276371252,0.12561115870810297,0.7015226082889651,0.1282502024005155,0.7044216509722719,0.008511520380555757,0.6875379766299041,3.715478733310902e-05,1.123584021082181
2016,-0.0045570333860307346,-0.5664734898000338,-6.63574568291008e-05,-0.002549074725313025,-0.7075576707560151,-1.3415543421749108,0.6744437593098578,1.3108306856173837,0.7452067831701809,1.4720419597327743,0.7915233051510021,1.5101651501144906,0.8633641139432605,1.611503383123877,0.7927931002627671,1.6410295896773675,0.8248512032566417,1.7311006423654574,0.7207325602688818,1.3698490997102921,-2.133079663012881,-4.3064391512694655,0.6766257078641414,1.3032635791302891,0.6670132900896023,1.2709722465967999,0.004948606729621286,0.3952310391172052,-1.968568370060844e-05,-0.3864367454004682
2017,-0.01172405759277733,-1.7848795916136762,0.004219455170537923,0.20183362782920244,-0.5386874602224181,-1.4001343127100394,0.5386944552767814,1.3514018841174964,0.5980542392077671,1.5430301704230196,0.6404351836667995,1.6858645707916957,0.7541027657384618,1.8876768510809867,0.7079704739058057,1.7847871848505772,0.7328462031184048,1.8889437876919895,0.552415827768264,1.4291482537850673,-0.6317981140509757,-1.4517486947198004,0.5441451924673302,1.383331208470667,0.5018114141601485,1.299156686644766,0.00993800414932244,0.7939250874413426,5.707524813250421e-06,0.1860087546198133
2018,-0.014903270080680072,-2.1057497726531684,0.015093852594248829,0.7909961105934844,1.5828404773257052,8.618843975552245,-1.5839954516648933,-10.375286379457364,-1.5192610211996485,-9.328139141762916,-1.5089414027766956,-8.73638278918145,-1.3776898452816746,-8.58018834382799,-1.4174985180403725,-9.058388069558669,-1.4004603581837403,-8.817789274853101,-1.5617356603852153,-9.635523935747258,-2.4277739017524347,-7.187683623294008,-1.586134498369606,-10.101920837490413,-1.6175386922422244,-9.532864563608827,0.010545465257057957,0.81974164651598,2.33800858124225e-05,0.9920291991853307
2019,-0.014921271325482799,-2.1841566600056614,0.006798358821642479,0.2798251968328181,-0.9116332700088404,-1.660080156199333,0.9099646181360781,1.5407368991155201,0.9926489078886308,1.7455830134398638,0.9963950190312096,1.7627237126991708,1.1067252922367643,1.8387459158037058,1.065484693738862,1.8340466843388914,1.095510076313578,1.932110426741696,0.9331269412156855,1.634037366236708,1.3794039851434454,2.2303890845951866,0.8906850498667703,1.5219067552190917,0.8726740307366129,1.5582473807820467,0.010009329990106524,0.808828622905264,2.9056987847531532e-05,0.8430445974991538
