YearMonth,Sector,Ticker,Risk_Reversal_25,ATM_IV,HHI,Supplier_HHI,Hub_Shock,tot_return_index_gross_dvds,VIX,Term_Spread,Credit_Spread
2012-11,Materials,XLB US Equity,-0.010446,0.176373,0.0694123101948886,0.0938390835550708,0,22.1122,15.87,1.38,1.0099999999999998
2017-12,Energy,XLE US Equity,-0.0082719999999999,0.1482149999999999,0.140716077004027,0.0639753142061697,0,46.2673,11.04,0.5599999999999998,0.71
2011-05,Financials,XLF US Equity,0.0005819999999999,0.162765,0.0448022300803642,0.0793510193032422,0,14.9247,15.45,2.61,0.8200000000000003
2025-03,Industrials,XLI US Equity,-0.0145019999999999,0.18818,0.0213806114479947,0.0975231271328593,0,193.7351,22.28,0.31,0.6399999999999997
2011-07,Utilities,XLU US Equity,-0.008261,0.1640595,0.0582179848869812,0.1373643713720715,0,20.9391,25.25,2.59,0.8300000000000001
2013-06,Real Estate,XLRE US Equity,,,0.0556534576837969,0.056740720417398,1,,16.86,1.97,0.9200000000000008
2005-07,Utilities,XLU US Equity,0.000772,0.116169,0.0608363422137289,0.2253213457047866,0,16.3889,11.57,0.3099999999999996,0.8900000000000006
2021-12,Consumer Staples,XLP US Equity,-0.000405,0.1173195,0.0715525593162961,0.0516545380048871,1,119.7602,17.22,0.7899999999999999,0.6499999999999999
2007-05,Industrials,XLI US Equity,-0.0012759999999999,0.126486,0.1016676401820433,0.0969915248114975,0,40.584,13.05,-0.0199999999999995,0.92
2012-03,Technology,XLK US Equity,-0.001568,0.146732,0.1367643132123784,0.0666334146746431,0,16.3827,15.5,1.83,1.2400000000000002
2023-09,Materials,XLB US Equity,-0.0087069999999999,0.1767095,0.053018333249173,0.064797663925275,0,59.4939,17.52,-0.6399999999999997,1.0300000000000002
2011-11,Industrials,XLI US Equity,5.3999999999998494e-05,0.278382,0.0516514053564659,0.0893622591008935,0,38.7666,27.8,1.7599999999999998,1.2699999999999996
2009-09,Communication,XLC US Equity,,,0.1805228951200592,0.0679423251373002,0,,25.61,2.44,1.1799999999999995
2013-07,Consumer Staples,XLP US Equity,0.0020659999999999,0.112601,0.0960475574214121,0.0665797457852041,0,51.2704,13.45,2.24,0.9800000000000004
2016-01,Utilities,XLU US Equity,0.0008529999999999,0.1466685,0.0624907263629693,0.1000011171672478,0,34.0429,20.2,1.19,1.4500000000000002
2020-08,Materials,XLB US Equity,-0.020842,0.256727,0.0626574221890676,0.067637832620802,0,44.7266,26.41,0.51,1.02
2005-09,Energy,XLE US Equity,-0.003165,0.2439095,0.2553396990476841,0.0995343094871092,0,27.0823,11.92,0.25,0.9000000000000004
2014-03,Utilities,XLU US Equity,0.000616,0.113646,0.0608265021078966,0.111391207974628,0,29.1747,13.88,2.3200000000000003,0.6799999999999997
2005-10,Real Estate,XLRE US Equity,,,0.0634158312622935,0.0970312316480041,0,,15.32,0.1900000000000004,0.9500000000000002
2017-02,Consumer Staples,XLP US Equity,-0.015555,0.1070815,0.075275644856019,0.0590086879910759,0,74.6959,12.92,1.22,0.6899999999999995
2020-02,Communication,XLC US Equity,0.0073159999999999,0.429537,0.1572963861372491,0.0741574305297131,0,51.5139,40.11,0.1699999999999999,0.8300000000000001
2022-08,Technology,XLK US Equity,-0.0169459999999999,0.3012289999999999,0.1537666882021562,0.0618153256053454,0,85.7945,25.87,-0.3500000000000001,1.08
2005-08,Real Estate,XLRE US Equity,,,0.0645814145845729,0.0971861504477724,0,,12.6,0.2199999999999997,0.8700000000000001
2022-02,Real Estate,XLRE US Equity,-0.0074919999999999,0.244203,0.0488218373510016,0.0475767746989115,1,56.0398,30.15,0.49,0.7200000000000002
2021-11,Communication,XLC US Equity,-0.012883,0.2123685,0.2046257625859165,0.070199755718683,0,77.5533,27.19,1.05,0.6599999999999997
2009-08,Materials,XLB US Equity,0.000257,0.3096084999999999,0.0768099438768072,0.1092706374870954,0,16.5821,26.01,2.47,1.3200000000000005
2009-07,Financials,XLF US Equity,0.003358,0.3184,0.0520874627032519,0.0837227804152447,0,12.0202,25.92,2.54,1.6799999999999995
2020-08,Health Care,XLV US Equity,-0.016938,0.192467,0.0391007260822294,0.0722797599597809,0,141.4946,26.41,0.51,1.02
2008-03,Communication,XLC US Equity,,,0.1819684825175446,0.0788686297932781,0,,25.61,1.89,1.38
2015-07,Technology,XLK US Equity,0.0016229999999999,0.1303665,0.1106725342798294,0.0588348009234157,0,24.5509,12.12,1.65,1.0499999999999998
2013-03,Real Estate,XLRE US Equity,,,0.0553818205546367,0.0570180451102928,0,,12.7,1.7,0.9199999999999996
2025-08,Financials,XLF US Equity,-0.00084,0.135991,0.0472160981474394,0.0775281684020067,0,81.7073,15.36,0.5599999999999996,0.6500000000000004
2020-11,Industrials,XLI US Equity,0.00234,0.23345,0.0237163839942019,0.0942043139533868,0,121.3401,20.57,0.7,1.0
2017-05,Energy,XLE US Equity,-0.001916,0.1689649999999999,0.1551673393405647,0.0537720607587251,0,40.8065,10.41,0.9999999999999998,0.6999999999999997
2019-11,Consumer Discretionary,XLY US Equity,0.000954,0.117256,0.1398665534758217,0.0536986809885986,0,75.2301,12.62,0.1999999999999999,0.8799999999999999
2012-04,Utilities,XLU US Equity,0.0017529999999999,0.1065665,0.0588333459746251,0.1421990999272677,0,23.2067,17.15,1.7599999999999998,1.2300000000000004
2005-02,Communication,XLC US Equity,,,0.1492863959600073,0.0973651287899629,0,,12.08,0.79,0.6200000000000001
2013-07,Consumer Discretionary,XLY US Equity,0.0006859999999999,0.136343,0.0562202313524647,0.0662113017815521,0,33.3905,13.45,2.24,0.9800000000000004
2023-08,Technology,XLK US Equity,-0.0066829999999999,0.1754115,0.1350840656059079,0.0603235023346042,0,112.5006,13.57,-0.7300000000000004,1.0699999999999994
2023-03,Real Estate,XLRE US Equity,-0.015414,0.229177,0.0544319030428466,0.0460117244462088,0,48.4289,18.7,-0.6399999999999997,1.1100000000000003
2017-08,Materials,XLB US Equity,-0.001213,0.1195015,0.072777408667568,0.0659244909887725,0,36.7054,10.59,0.8699999999999999,0.6799999999999997
2015-10,Materials,XLB US Equity,-0.0276389999999999,0.1758195,0.0740186268403122,0.0759075972451072,0,29.1258,15.07,1.4299999999999995,1.3899999999999997
2007-09,Technology,XLK US Equity,0.0049089999999999,0.1680615,0.0961507784371912,0.0959007460011187,0,13.7191,18.0,0.5099999999999998,0.8499999999999996
2006-03,Financials,XLF US Equity,0.0018899999999999,0.1159999999999999,0.0557912922281449,0.0995854108336275,0,27.2031,11.39,-0.0100000000000006,0.8799999999999999
2020-12,Consumer Staples,XLP US Equity,-0.0046239999999999,0.16196,0.0698986262613033,0.0559412782510368,0,102.1877,22.75,0.79,0.9000000000000004
2013-01,Industrials,XLI US Equity,0.000144,0.143102,0.0564680129457309,0.0880302575204404,0,47.2326,14.28,1.64,0.9300000000000006
2018-03,Real Estate,XLRE US Equity,-0.003641,0.1506505,0.0482675061227458,0.052620294961499,0,34.0309,19.97,0.56,0.7699999999999996
2016-06,Real Estate,XLRE US Equity,0.037859,0.1674175,0.0519428002339457,0.055832272917799,0,34.5769,15.63,0.91,1.0300000000000002
2008-05,Utilities,XLU US Equity,-0.006387,0.1608635,0.0587302191321716,0.1689103977710702,0,22.8031,17.83,1.4299999999999995,1.3599999999999994
2019-06,Financials,XLF US Equity,-0.0067819999999999,0.164234,0.0456907662466684,0.0723332302996767,0,37.198,15.08,0.2599999999999998,1.04
